Tilltalsnamn,Antal bärare
Abdulnoor,3
Abdulnour,9
Abdulqaadir,6
Abdulqader,48
Abdulqadir,104
Abdulqahar,3
Abdulqaliq,2
Abdulqani,8
Abdulqayoom,2
Abdulrahaman,3
Abdulraheem,10
Abdulrahem,8
Abdulrahiim,2
Abdulrahim,106
Abdulrahman,1213
Abdul-Rahman,19
Abdulrahmen,2
Abdul-Rakhman,2
Abdulraman,2
Abdulraoof,5
Abdulraouf,21
Abdulrashid,7
Abdulrauf,9
Abdulrazagh,3
Abdulrazak,97
Abdulrazaq,18
Abdulrazik,2
Abdulraziq,2
Abdulrazzak,45
Abdulrazzaq,31
Abdulredha,2
Abdulrehman,5
Abdulreza,5
Abdulrezak,5
Abdulrezaq,2
Abdulrhman,50
Abdulridha,7
Abdulrizak,4
Abdulruhman,4
Abdulrzak,4
Abdulsaboor,2
Abdulsahib,6
Abdulsalam,145
Abdul-Salam,2
Abdulsamad,19
Abdulsamea,2
Abdulsamed,8
Abdulsameea,2
Abdulsamet,3
Abdulsami,4
Abdulsamie,2
Abdulsatar,16
Abdulsater,2
Abdulsattar,39
Abdul-Sattar,3
Abdulselam,6
Abdulshakur,2
Abdulwadoud,3
Abdulwadud,4
Abdulwahab,102
Abdulvahap,9
Abdulvahed,4
Abdulwahed,16
Abdulwahhab,7
Abdulwahid,25
Abdulwakeel,2
Abdulwakil,2
Abdulwali,4
Abdulwase,2
Abdulwasi,4
Abdulwasie,5
Abdulwhab,2
Abdulzaher,3
Abdulzahra,3
Abdumajid,2
Abdumalik,4
Abdun,2
Abdunaser,2
Abdunasir,4
Abdunosir,2
Abduqaadir,2
Abduqadir,35
Abdur,26
Abdurahim,31
Abdurahman,183
Abdurahmon,5
Abdurakhim,4
Abdurakhman,8
Abdurakhmon,6
Abdurashid,7
Abdurassul,2
Abdurasul,3
Abdurauf,2
Abdurazak,9
Abdurazaq,2
Abdurehman,8
Abdureshid,2
Abdurezak,9
Abdurhman,4
Abdurraheem,2
Abdurrahim,27
Abdurrahman,114
Abdur-Rahman,4
Abdurraouf,2
Abdurrazaq,3
Abdus,13
Abdusaid,4
Abdusalaam,2
Abdusalam,20
Abdusamad,4
Abduselam,27
Abdusemed,2
Abdushukur,2
Abduslam,3
Abdussalam,6
Abdussamed,2
Abduwahab,4
Abduwahid,3
Abduwali,6
Abdyl,3
Abdylaziz,2
Abdülaziz,2
Abdülhamid,2
Abdülkadir,8
Abdülkerim,2
Abdülmecit,3
Abdülvahit,2
Abe,4
Abeal,2
Abebaw,3
Abebayehu,2
Abebe,26
Abed,310
Abed Alrahman,6
Abeda,2
Abedalaziz,4
Abedalfatah,2
Abedali,2
Abedalkader,2
Abedalla,2
Abedallah,7
Abedalqader,2
Abedalrahman,8
Abedalsalam,2
Abeddin,2
Abede,3
Abedelrahman,4
Abedi,2
Abedin,65
Abedom,3
Abedrahman,2
Abedullah,5
Abeer,9
Abeil,3
Ábel,10
Abel,541
Abel Abraham,2
Abelardo,8
Abele,3
Abell,3
Abenazer,3
Abenet,3
Abenezer,16
Abenob,3
Abenzer,2
Abera,7
Aberham,2
Aberra,4
Abeselom,3
Abey,3
Abgar,25
Abhar,2
Abhay,20
Abhi,5
Abhijat,2
Abhijeet,17
Abhijit,17
Abhijith,10
Abhik,2
Abhilash,21
Abhimanyu,10
Abhinandan,5
Abhinash,2
Abhinav,40
Abhinay,3
Abhiram,9
Abhiroop,2
Abhisek,5
Abhishek,115
Abi,14
Abib,8
Abibakar,3
Abid,109
Abidal,2
Abidemi,2
Abidin,25
Abidur,2
Abiel,100
Abieselom,2
Abiib,4
Abil,4
Abilash,2
Abilio,3
Abim,4
Abimael,4
Abimbola,2
Abin,4
Abinabi,6
Abinash,7
Abinayan,2
Abiner,4
Abinezer,3
Abiodun,7
Abiola,2
Abir,24
Abiselom,3
Abish,3
Abishan,2
Abishek,6
Abisolom,2
Abit,16
Abiy,15
Abiyel,2
Abizer,2
Abjar,22
Abkar,6
Abker,2
Ablahad,19
Ablai,2
Ablaye,2
Ablel,9
Ablelom,9
Ablie,7
Ablikim,2
Abner,13
Abnet,4
Abo,17
Aboalfadel,2
Abobakar,2
Abobaker,17
Abobakir,5
Abobakr,19
Abod,21
Abode,2
Abodi,6
Abody,2
Abokar,7
Abokor,19
Abol,5
Abolade,2
Abolaji,2
Abolfazel,5
Abolfazi,7
Abolfazl,154
Abolgasem,3
Abolghasem,26
Abolghassem,8
Abolhassan,7
Abonob,2
Aboobakr,3
Abood,11
Aboozar,6
Abotaleb,2
Abou,19
Abou Bakr,2
Aboubacar,21
Aboubacarr,2
Aboubakar,10
Aboubaker,14
Aboubakr,15
Aboud,71
Aboudou,2
Aboul,2
Aboulfazl,7
Aboulghasem,4
Abouzar,6
Abozar,19
Abraam,2
Abraao,2
Abraha,21
Abrahale,13
Abrahaley,7
Abraham,720
Abrahan,2
Abraheem,3
Abrahem,11
Abrahim,36
Abrahman,2
Abram,21
Abramo,2
Abrar,49
Abreham,10
Abrehe,4
Abrha,5
Abrhale,12
Abrhaley,4
Abrham,64
Abri,2
Abrohom,2
Abror,3
Absalom,2
Absame,4
Absar,2
Abshar,2
Absher,2
Abshir,156
Absi,3
Abtin,61
Abu,142
Abu Baker,3
Abu Bakr,10
Abubacar,6
Abubacarr,10
Abu-Bakar,9
Abubakar,203
Abubakari,2
Abubaker,51
Abubakir,7
Abubakr,39
Abu-Bakr,3
Abubeker,28
Abubekir,3
Abud,16
Abudi,5
Abuelgasim,2
Abukar,201
Abuker,5
Abul,46
Abulahi,2
Abulfat,3
Abulfaz,4
Abulfazel,7
Abulfazil,3
Abulfazl,51
Abullfazel,3
Abuu,2
Abuubakar,6
Abuukar,23
Abuye,2
Abuzar,27
Abuzer,11
Aby,2
Abyan,4
Abye,2
Abyel,3
Abynabi,3
Aca,15
Acaymo,2
Accel,2
Ace,47
Acha,3
Achileas,2
Achille,15
Achilleas,42
Achillefs,9
Achilles,26
Achilleus,2
Achim,25
Achin,2
Achintya,4
Achira,2
Achmad,4
Achmed,2
Achmet,3
Achot,3
Achour,19
Achraf,60
Achref,7
Achyut,5
Achyuth,2
Acif,2
Ackad,2
Acke,145
Acki,4
Ackim,2
Ackis,5
Acko,2
Aco,31
Acram,3
Ad,2
Ada,3
Adaam,2
Adad,6
Adai,10
Adair,3
Adal,19
Adalat,2
Adalbert,13
Adalberto,13
Adalet,2
Adalsteinn,5
Adam,2406
Ádám,46
Adam Ahmad,2
Adam Ahmed,2
Adama,43
Adamantios,3
Adamas,7
Adam-Mohammed,2
Adamo,3
Adams,13
Adamu,3
Adan,186
Adán,2
Adanan,3
Adane,12
Adani,3
Adao,3
Adar,72
Adarsh,22
Adas,14
Adawe,3
Aday,21
Addam,3
Adday,4
Adde,38
Addel,3
Addell,2
Addi,27
Addie,2
Addin,3
Addis,20
Addisalem,2
Addisu,7
Addo,4
Addy,3
Ade,14
Adeb,4
Adebayo,5
Adebowale,5
Adedapo,2
Adedeji,2
Adeeb,26
Adeel,63
Adefemi,2
Adegboyega,2
Adei,2
Adekunle,3
Adel,1085
Adelard,2
Adelin,11
Adelino,6
Adelio,2
Adell,2
Adelmo,9
Adem,681
Ademar,5
Ademir,34
Ademola,3
Aden,170
Adenis,2
Adeniyi,3
Adeola,4
Adérito,2
Aderito,3
Adesh,3
Adeshina,4
Adetokunbo,4
Adetunji,4
Adewale,3
Adey,2
Adeyemi,5
Adham,225
Adhana,2
Adhanom,59
Adharv,2
Adhav,2
Adhavan,3
Adhem,7
Adhemar,4
Adhid,2
Adhir,2
Adhith,2
Adhrit,5
Adhurim,22
Adhvik,6
Adhyansh,2
Adi,176
Adian,69
Adib,137
Adibullah,3
Adiel,13
Adigüzel,2
Adijan,15
Adijat,2
Adil,517
Adilet,4
Adilon,3
Adils,7
Adilson,10
Adilzhan,4
Adim,3
Adimir,3
Adin,218
Adinarayana,2
Adion,5
Adip,3
Adis,435
Adisak,16
Adish,2
Adison,10
Adisorn,9
Adisu,2
Adit,3
Adith,3
Adithep,3
Adithya,18
Aditya,94
Adiya,4
Adjan,2
Adjmal,3
Adl,2
Adlan,16
Adlane,2
Adler,6
Adli,11
Adm,6
Admas,4
Admasu,4
Admer,2
Admin,3
Admir,482
Admiral,2
Admon,23
Admoon,3
Admoun,11
Admun,2
Adnaan,37
Adnan,2298
Adnand,2
Adnane,10
Adnel,9
Adnen,4
Adni,3
Adnin,2
Adnon,2
Ado,17
Adolf,153
Adolfas,2
Adolfo,62
Adolin,2
Adolph,6
Adolphe,8
Adolphus,3
Adom,2
Adomas,30
Adon,5
Adonai,37
Adonaj,2
Adonay,103
Adones,2
Adonia,2
Adonias,5
Adonik,2
Adonis,78
Adonit,3
Adoniyas,4
Adony,2
Ador,8
Adorian,2
Adoum,3
