Tilltalsnamn,Antal bärare
Lynnita,2
Lynn-Marie,2
Lynsey,8
Lynx,7
Lyona,5
Lyota,2
Lyra,81
Lyria,2
Lys,4
Lysa,5
Lysandra,2
Lysann,3
Lysanna,2
Lyse,12
Lysette,6
Lüsiye,3
Lyssa,6
Lütfiye,17
Lyuba,8
Lyubka,4
Lyubomira,3
Lyubov,29
Lyudmila,38
Lyudmyla,50
Lyupka,2
Lyutvie,3
Lyvia,5
Lyydi,2
Lyydia,6
Lyyli,33
Låla,2
Långnils,2
Låtta,9
Låva,3
Läman,4
Länsmans,3
Lärka,3
Lärke,20
Läsma,3
Ma,130
Maa,2
Maab,7
Maahi,2
Maahnoor,3
Maaida,22
Maaido,3
Maaike,31
Maaja,2
Maali,9
Maalin,4
Maaly,2
Maame,7
Maan,3
Maana,7
Maandeeq,10
Maandeq,3
Maaney,2
Maani,2
Maano,4
Maansi,2
Maanvi,2
Maanya,3
Maare,4
Maaret,37
Maaria,15
Maariah,2
Maarij,2
Maarika,15
Maarit,680
Maariya,3
Maarja,23
Maartje,14
Maarya,2
Maasa,6
Maasoma,3
Maasome,2
Maasoumeh,2
Maawa,3
Maaya,2
Maayan,4
Maaza,10
Mabana,2
Mabast,3
Mabbe,3
Mabel,180
Mabell,3
Mabelle,21
Maber,2
Mabeth,2
Mabia,2
Mabintou,3
Mabinty,8
Mable,7
Mabrat,2
Mabrouka,12
Mabruka,5
Mabsuud,2
Mac,3
Maca,6
Macalin,2
Macarena,47
Macda,3
Macey,5
Macha,2
Machaal,2
Machiko,5
Maci,4
Macide,5
Macie,5
Mackarena,2
Mackda,2
Mackenzie,26
Macki,2
Macrina,2
Macy,14
Mada,4
Madalen,2
Madalena,24
Madalina,61
Madalina-Elena,2
Madan,3
Madara,23
Maddalena,17
Madde,29
Maddeleine,3
Maddelen,3
Maddelena,2
Maddelene,9
Maddeline,2
Maddi,6
Maddie,7
Maddis,2
Maddison,3
Maddox,2
Maddy,10
Made,4
Madea,3
Madeeha,13
Madeena,3
Madeha,8
Madeilene,4
Madelain,5
Madelaine,650
Madelainé,2
Madeleen,4
Madelein,160
Madeleiné,16
Madeleine,1956
Madeléine,33
Madéleine,5
Madelen,975
Madelén,109
Madelena,10
Madelené,55
Madelene,4685
Madeléne,373
Madélene,3
Madéléne,4
Madelenie,5
Madeleyn,2
Madelia,5
Madeliane,3
Madelief,7
Madelien,2
Madeliene,25
Madeliené,2
Madelin,22
Madelina,9
Madeline,80
Madeliné,2
Madelinn,4
Madelle,2
Madelon,3
Madelyn,13
Madena,4
Madhavi,16
Madhelene,4
Madhu,18
Madhulika,6
Madhumita,6
Madhura,6
Madhuri,26
Madhurima,5
Madhurya,3
Madhusha,3
Madhusmita,4
Madhvi,2
Madi,2
Madia,7
Madian,2
Madicken,410
Madifo,2
Madigan,2
Madiha,120
Madiina,6
Madiino,9
Madikken,4
Madileine,2
Madilen,2
Madilene,6
Madilyn,4
Madina,361
Madinabonu,11
Madinah,4
Madinakhon,3
Madine,4
Madineh,14
Madino,40
Madiore,2
Madiori,2
Madison,87
Madita,6
Madiya,2
Madiyo,2
Madjan,2
Madjiguene,2
Madleen,34
Madlein,10
Madleine,22
Madlen,99
Madlén,15
Madlena,6
Madlene,51
Madléne,6
Madli,8
Madlien,5
Madlin,95
Madline,10
Madloolah,2
Madna,2
Madoka,4
Madona,22
Madonna,28
Madoussou,2
Madrid,3
Madusha,3
Madushani,4
Madvi,2
Mady,7
Madya,3
Madzhide,2
Madzide,4
Mae,34
Maea,3
Maeada,3
Maebel,8
Maeda,13
Maedah,2
Maede,7
Maedeh,20
Maedin,3
Maedn,5
Maedot,4
Maees,2
Maeja,2
Mael,2
Maela,5
Maele,2
Maeli,2
Maelis,2
Maella,2
Maelle,7
Maëlle,12
Maelys,4
Maëlys,5
Maem,4
Maemi,2
Maera,2
Maereg,3
Maerit,3
Maes,7
Maesa,5
Maeson,3
Maesoun,2
Maeva,16
Maëva,4
Maeve,20
Maevis,2
Maey,2
Maeza,7
Mafa,2
Mafalda,29
Mafaz,5
Mafi,2
Mafruha,3
Maftuha,2
Maftuna,18
Mafuza,2
Magala,2
Magali,37
Magalie,5
Magalis,2
Magaly,44
Magartu,2
Magatte,2
Magbula,10
Magbule,38
Magbulja,2
Magbulje,3
Magd,2
Magda,679
Magda Lena,2
Magdah,3
Magdalén,2
Magdalen,8
Magdalena,5741
Magda-Lena,21
Magdaléna,7
Magdalene,24
Magdaleni,2
Magdalina,3
Magdaline,4
Magdalini,54
Magdana,2
Magdelen,5
Magdelena,2
Magdelin,4
Magdi,3
Magdoleen,2
Magdolen,3
Magdolin,12
Magdolna,93
Magdy,4
Mageda,14
Magela,6
Maggan,58
Maggi,46
Maggie,415
Maggis,4
Maggy,4
Maghi,3
Maghnia,2
Magi,16
Magia,2
Magida,17
Magie,3
Magini,2
Magitte,2
Magna,29
Magnea,2
Magnhild,98
Magni,2
Magnolia,38
Magnus,2
Magny,7
Magol,2
Magret,17
Magrete,2
Magreth,16
Magrethe,6
Magribe,2
Magrina,2
Magrit,2
Magrith,2
Maguette,4
Magui,2
Maguie,3
Magul,2
Maguy,15
Magy,6
Mah,42
Maha,952
Mahaa,5
Mahaba,4
Mahabad,62
Mahabat,15
Mahabbat,2
Mahabuba,7
Mahad,2
Mahada,2
Mahadia,2
Mahado,16
Mahak,9
Mahalakshmi,8
Mahalet,2
Maham,36
Mahamed,2
Mahamuda,4
Mahan,7
Mahana,2
Mahar,4
Maharit,5
Maharite,5
Mahasen,35
Mahasin,13
Mahassen,8
Mahassin,2
Mahasti,5
Mahathi,4
Mahbat,2
Mahboba,16
Mahbobe,4
Mahbobeh,31
Mahbooba,9
Mahboobeh,23
Mahbouba,10
Mahboube,2
Mahboubeh,58
Mahbuba,23
Mahbubah,2
Mahbube,7
Mahbubeh,5
Mahda,7
Mahder,12
Mahdesa,4
Mahdia,63
Mahdie,8
Mahdieh,52
Mahdis,17
Mahdiya,23
Mahdiyah,4
Mahdiye,3
Mahdiyeh,16
Mahdokht,7
Maheen,32
Maheera,3
Mahek,2
Mahelet,4
Mahera,6
Maherah,3
Mahere,2
Maheswari,6
Mahfam,2
Mahfouza,3
Mahfusa,2
Mahfuza,25
Mahfuze,2
Mahgol,13
Mahgul,10
Mahi,24
Mahia,7
Mahida,9
Mahide,2
Mahija,7
Mahije,10
Mahika,3
Mahilet,2
Mahima,11
Mahin,150
Mahina,5
Mahindokht,10
Mahinour,2
Mahinur,4
Mahira,56
Mahirah,4
Mahire,2
Mahisha,2
Mahitab,4
Mahiya,2
Mahiye,2
Mahjabeen,6
Mahjabin,5
Mahjan,5
Mahjouba,9
Mahjuba,3
Mahkameh,2
Mahla,20
Mahlagha,8
Mahlea,2
Mahlena,4
Mahlet,49
Mahlin,48
Mahliyo,2
Mahmanzar,2
Mahmoda,2
Mahmonir,4
Mahmooda,5
Mahmoud,3
Mahmuda,27
Mahmure,2
Mahna,2
Mahnas,3
Mahnaz,301
Mahnoor,45
Mahnoosh,3
Mahnor,2
Mahnosh,7
Mahnoush,8
Maho,5
Mahour,2
Mahpareh,2
Mahraban,2
Mahreen,4
Mahri,3
Mahria,3
Mahrin,5
Mahrita,2
Mahrlene,2
Mahrokh,17
Mahroo,6
Mahroosa,2
Mahrosa,2
Mahrosh,8
Mahrou,3
Mahrouyeh,2
Mahrukh,10
Mahsa,238
Mahsan,3
Mahshad,3
Mahshid,74
Mahsima,2
Mahsoltan,2
Mahsoma,3
Mahssa,5
Mahsuma,4
Mahta,28
Mahtab,121
Mahtilda,5
Mahttab,2
Mahum,2
Mahwar,2
Mahvash,46
Mahwash,10
Mahveen,7
Mahvin,2
Mahvish,3
Mahwish,11
Mahya,37
Mahyar,7
Mahyasadat,2
Mahyawit,2
Mahzad,5
Mahzala,3
Mai,563
Mai Britt,3
Maia,479
Maïa,3
Maiada,20
Maiah,2
Maiar,11
Maiara,7
Maias,4
Maibrit,3
Maibrith,3
Maibritt,14
Mai-Britt,53
Maica,4
Maid,2
Maida,527
Maidah,13
Maide,14
Maideh,2
Maiden,18
Maider,3
Maidi,16
Maidie,12
Maido,22
Maidy,10
Maie,37
Maieda,2
Maiene,4
Maigon,6
Maigoth,2
Maigret,3
Mai-Gret,2
Mai-Gull,2
Maigun,2
Mai-Gun,4
Maihan,2
Maiia,13
Mai-Inger,4
Maij,11
Maija,750
Maija Leena,7
Maija Liisa,43
Maija-Helena,2
Maija-Leena,21
Maija-Lena,3
Maija-Liisa,184
Maija-Riitta,13
Maij-Britt,2
Maijlis,2
Maijo,2
Maiju,35
Maika,10
Maike,55
Maiken,146
Maiki,2
Maikki,7
Maiko,13
Maila,169
Maile,6
Mailee,3
Maileen,3
Mailen,13
Mai-Lena,3
Mailene,3
Mailey,8
Maili,43
Mai-Li,5
Mailie,5
Mai-Liis,3
Mailin,7
Mailinda,3
Mailinn,2
Mailis,55
Mai-Lis,20
Mai-Liss,4
Mailiz,2
Mailou,2
Mai-Louise,5
Maily,28
Maima,2
Maimaiti,3
Maimo,5
Maimon,2
Maimona,8
Maimonah,2
Maimoona,5
Maimouna,26
Maïmouna,4
Maimu,13
Maimun,10
Maimuna,69
Maimunah,3
Main,2
Maina,39
Maine,193
Mainette,2
Maini,19
Mainie,4
Maino,15
Mainor,5
Mainy,58
Mair,2
Maira,79
Maíra,2
Mairah,2
Maire,411
Mairead,2
Mairéad,2
Mai-Reet,2
Mairelis,2
Mairi,24
Mairid,2
Mairit,5
Mairita,2
Mairon,32
Mairone,2
Mairy,6
Mais,153
Maisa,85
Maisaa,113
Maisah,2
Maisam,41
Maisan,2
Maisar,2
Maisara,5
Maisarah,5
Maise,3
Maisem,2
Maisha,26
Maisi,2
Maisie,34
Maison,20
Maisoon,17
Maisoun,56
Maiss,4
Maissa,17
Maissaa,11
Maissam,3
Maissane,2
Maisson,6
Maissoun,6
Maisun,3
Maisy,14
Mait,322
Maita,2
Maitane,3
Maite,40
Maitê,2
Maité,2
Maitena,2
Maith,27
Maithaa,2
Maithai,2
Maithili,4
Maiti,4
Maitrayee,2
Maitree,2
Maitreyee,2
Maitreyi,3
Maitri,4
Maitsetseg,2
Maiva,2
Maive,6
Maiven,2
Maiwi,4
Maivi,48
Maivie,8
Maivon,2
Maivor,170
Maiwor,3
Maivy,12
Maiya,19
Maiyada,5
Maiza,19
Maj,7319
Maj Anita,2
Maj Berit,2
Maj Birgit,2
Maj Brita,2
Maj Britt,166
Maj Elisabet,3
Maj Eva,2
Maj Gun,4
Maj Gunn,2
Maj Gunnel,2
Maj Inger,16
Maj Karin,2
Maj Lena,2
Maj Lis,29
Maj Louise,10
Maja,1232
Maja Britta,2
Maja Greta,5
Maja Karin,3
Maja Lena,4
Maja Li,2
Maja Lisa,12
Maja Stina,3
Majabin,3
Maja-Brita,2
Maja-Britta,4
Majabritta,2
Maja-Clara,2
Majada,8
Maja-Greta,5
Majah,6
Maja-Karin,6
Maja-Lee,3
Majaleena,2
Maja-Lena,62
Maja-Li,10
MajaLi,9
Maja-Liisa,3
Maja-Lina,7
Maja-Linn,3
Maja-Linnea,2
Majalis,2
Majalisa,6
Maja-Lisa,67
Maja-Lo,4
Maja-Lotta,2
Maja-Lova,3
Maja-Maria,3
Maja-Mathilda,2
Majamärta,2
Majan,4
Maj-Annette,2
Majar,4
Maja-Sara,2
Maja-Stina,91
MajaStina,9
Maj-Berit,5
Majborg,2
Majbrit,25
Maj-Brit,17
Maj-Brita,4
Majbrith,2
Maj-Brith,6
Majbritt,568
Maj-Britt,5945
Majbritt Kristina,3
Maj-Britta,4
Maj-Britte,8
Maj-Charlott,2
Maj-Charlotte,6
Maj-Christin,6
Maj-Christine,4
Majd,58
Majda,185
Majdah,4
Majde,6
Majdel,4
Majden,9
Majdi,4
Majdie,2
Majdoleen,9
Majdolen,3
Majdolin,14
Majdoline,4
Majdor,2
Maj-Doris,2
Majdoulin,10
Majdouline,6
Majduleen,2
Majdy,2
Maje,5
Majed,10
Majeda,116
Majedah,9
Majedeh,8
Majeeda,2
Majel,2
Maj-Elisabeth,2
Maj-Elise,3
Majella,3
Maj-Else,3
Majen,5
Majesty,2
Maj-Evy,2
Majfrid,2
Majgan,2
Maj-Gerd,2
Majgon,5
Majgret,13
Maj-Gret,61
Maj-Grete,2
Maj-Greth,14
Majgull,4
Maj-Gull,32
Majgun,8
Maj-Gun,88
Majgund,4
Maj-Gunn,6
Maj-Gunnel,3
Maj-Gunvor,2
Maj-Helen,3
Maj-Helén,2
Majhild,2
Majida,127
Majidah,3
Maj-Inger,61
Maj-Ingrid,3
Maj-Iren,2
Majja,33
Majje,2
Majka,9
Maj-Kari,3
Maj-Karin,10
Maj-Katrin,2
Majken,3588
Majki,2
Maj-Kristin,5
Majla,10
Majlen,18
Maj-Len,83
Maj-Lena,24
Majlene,6
Maj-Lene,9
Majley,2
Majli,34
Maj-Li,8
Majlie,4
Maj-Lilian,2
Majlill,4
Maj-Lill,12
Maj-Lilly,2
Majlin,4
Majlinda,112
Majlinn,2
Maj-Linn,2
Maj-Lis,2321
Majlis,866
Maj-Lisa,6
Majlise,4
Maj-Lise,42
Majliss,9
Maj-Liss,24
Majlith,2
Maj-Liz,10
Majlo,3
Maj-Lo,3
Maj-Lott,5
Maj-Louise,84
Majly,32
Majmo,3
Majmona,4
Majmouna,2
Majmuna,2
Majna,21
Majne,63
Majno,4
Majnor,9
Majny,74
Majo,3
Majola,2
Majorie,4
Majra,3
Majre,6
Majred,2
Majri,5
Majrid,9
Majris,6
Majrit,2
Majrith,3
Majron,48
Majrun,3
Maj-Rut,2
Majry,9
Majsa,15
Majsan,30
Majse,2
Maj-Siri,3
Maj-Sofi,3
Maj-Sofie,6
Majson,4
Majsti,2
Majstin,6
Maj-Stin,6
Majstina,2
Maj-Stina,19
Majsy,3
Majt,149
Majta,2
Majte,2
Majth,4
Majula,8
Maj-Ulla,2
Majvi,342
Maj-Vi,2
Majvie,8
Majviol,2
Maj-Viol,6
Maj-Viola,2
Maj-Vivan,2
Majvon,2
Majvor,1602
Majwor,2
Majvy,35
Majvår,7
Majy,3
Maka,30
Makai,2
Makaila,2
Makale,3
Makarena,3
Makarim,7
Makayla,6
Makbola,8
Makboula,9
Makbula,2
Makbule,83
Makda,97
Makdelina,2
Makeda,11
Makedah,2
Makedonka,8
Makeme,2
Makeyla,2
Makfira,3
Makfire,22
Makfireta,2
Makfirete,19
Makhbuba,3
Makhfirat,2
Makhliyo,2
Maki,23
Makia,9
Makiba,2
Makibel,2
Makida,3
Makieu,2
Makih,2
Makiko,17
Makiya,3
Makiyah,2
Makka,25
Makkah,2
Makkia,2
Makkiyah,2
Mako,45
Makoto,2
Makrim,2
Makrima,3
Makrina,8
Maksalina,3
Maksida,2
Maksud,3
Maksuda,10
Mal,5
Mala,20
Malaak,45
Malack,6
Malahat,12
Malai,30
Malaika,76
Malaïka,4
Malaikah,2
Malaiporn,2
Malaiwan,4
Malak,1023
Malaka,23
Malake,14
Malaké,3
Malakeh,20
Malaktaj,3
Malal,3
Malala,3
Malalai,29
Malalay,9
Malalei,3
Malali,10
Malamati,4
Malan,2
Malani,5
Malaporn,2
Malarvizhi,5
Malat,3
Malath,6
Malathi,5
Malathy,2
Malati,3
Malavika,9
Malaya,2
Malayeka,2
Malayka,3
Malaz,27
Malbora,2
Malda,11
Maldar,3
Malea,11
Maleah,6
Malee,64
Malée,2
Maleechan,2
Maleeha,10
Maleena,2
Maleewan,3
Maleeya,2
Malefia,2
Maleha,10
Maleia,2
Maleine,2
Malek,22
Maleka,26
Malekah,2
Maleke,3
Malekeh,10
Maleki,2
Malen,8
Malén,13
Maléna,3
Malena,760
Malene,109
Maléne,17
Maleva,2
Maleya,3
Maleyka,2
Malfa,2
Malfina,2
Malgorzata,1270
Malgosia,2
Malhin,3
Mali,65
Malí,2
Malia,40
Maliah,5
Maliam,2
Malica,7
Malice,4
Malicka,5
Malie,8
Malieh,3
Malih,2
Maliha,86
Malihe,63
Maliheh,75
Maliin,3
Malika,364
Malikah,7
Malikakhon,3
Malila,2
Malin,4340
Malin Charlotta,2
Malin Maria,2
Malina,95
Malinda,38
Maline,15
Malinee,23
Malin-Elisabeth,2
Malini,26
Malinie,2
Malinka,6
Malin-Maria,2
Malinn,7
Maliqe,6
Malisa,22
Malise,3
Malisia,3
Malissa,5
Maliun,2
Malivan,3
Maliwan,58
Maliya,9
Maliyah,5
Malja,3
Maljuun,3
Malk,32
Malka,31
Malkia,2
Mall,20
Malla,49
Mallak,44
Malle,43
Mallen,3
Mallena,2
Malleswari,2
Mallika,28
Mallory,5
Mally,6
Malo,6
Malone,3
Malory,2
Malott,3
Ma-Lou,2
Malou,839
Maloue,6
Malsore,10
Malta,6
Malte,3
Maltina,3
Malu,4
Malva,1786
Malwa,81
Malva-Li,2
Malva-Lo,2
Malvi,4
Malwia,2
Malvika,4
Malvin,3
Malvina,237
Malwina,60
Malvine,3
Malyn,6
Malyun,60
Malyuum,2
Malyuun,17
Mam,17
Mama,19
Mamak,2
Mamakhan,2
Mamasa,2
Mamata,7
Mamatha,12
Mame,21
Mame Diarra,2
Mami,14
Mamia,3
Mamica,2
Mamie,26
Mamiko,4
Mamit,3
Mamjarra,4
Mamlakat,2
Mammy,2
Mamona,2
Mamoona,11
Mamou,2
Mampol,2
Mamta,17
Mamtaz,3
Mamtha,2
Mamudija,2
Mamuk,5
Mamuna,2
Mamura,2
Mamy,7
Man,45
Mana,113
Manaal,46
Manaar,7
Manaf,2
Manahel,14
Manahil,40
Manal,999
Manali,8
Manall,2
Manami,7
Manan,9
Manana,11
Mananya,9
Manar,461
Manas,3
Manasa,26
Manasha,2
Manasi,8
Manasik,2
Manassa,6
Manassanan,2
Manasvi,4
Manasvini,2
Manat,4
Manatchanok,4
Manatsanan,5
Manatsawan,2
Manatsawee,2
Manaz,4
Manbai,2
Manchusa,2
Manda,286
Mandakhnar,2
Mandala,2
Mandalay,3
Mandalena,2
Mandalie,2
Mandana,135
Mande,2
Mandeep,20
Mandeeq,6
Mandegar,2
Mandek,11
Mandela,2
Mandelina,3
Mandeq,27
Mandi,19
Mandica,7
Mandie,4
Mandip,5
Mandira,3
Mandis,12
Mandisa,2
Mandkhai,2
Mandolina,2
Manduha,3
Mandukhai,4
Mandus,2
Mandy,131
Mane,15
Manee,32
Maneekaew,2
Maneekan,2
Maneenuch,2
Maneenut,2
Maneeporn,2
Maneerat,36
Maneerattana,2
Maneerut,2
Maneewan,12
Manel,31
Manela,3
Maneli,23
Manelie,3
Manell,3
Manella,8
Manelle,2
Manely,2
Manesa,4
Manessa,32
Manette,3
Manfa,2
Mang,5
Manga,4
Mangala,6
Mangalika,7
Mangkorn,2
Mangla,2
Manh,2
Manha,55
Manhal,5
Mani,7
Mania,32
Maniaa,2
Manida,3
Manidje,2
Manifa,2
Maniga,2
Manigeh,5
Maniha,2
Manija,9
Manije,7
Manijeh,101
Manik,2
Manika,3
Manikan,2
Manil,2
Manila,8
Manilla,21
Manilyn,6
Manimala,2
Manina,3
Maninder,3
Maniola,2
Manira,6
Manirat,6
Manisa,39
Manisara,5
Manisha,36
Manissa,17
Manit,9
Manita,11
Maniya,2
Manizha,24
Manizhe,2
Manizheh,15
Manja,73
Manjari,5
Manje,3
Manjeet,9
Manji,4
Manjinder,3
Manjiri,5
Manjit,22
Manjola,13
Manjolla,2
Manjot,4
Manju,17
Manjula,16
Manjulaben,3
Manjusha,7
Manka,2
Manlika,10
Manlin,3
Manmeet,3
Mann,2
Manna,29
Mannal,5
Mannana,2
Mannar,6
Mannat,4
Manni,5
Mannicka,2
Mannie,2
Manning,2
Mannuella,2
Manny,3
Mano,11
Manochak,4
Manoela,3
Manoella,3
Manoli,2
Manolia,4
Manolya,8
Manon,53
Manoo,2
Manora,3
Manoshak,3
Manou,4
Manoubia,5
Manouch,2
Manouela,3
Manoush,4
Manoushak,3
Manpreet,23
Manprit,2
Manraj,2
Manreet,4
Mansa,4
Mansah,2
Mansha,4
Mansi,16
Mansirat,2
Mansoora,7
Mansooreh,13
Mansora,5
Mansoreh,9
Mansour,2
Mansoura,12
Mansourah,2
Mansoure,2
Mansoureh,53
Mansura,16
Mansure,4
Manta,3
Mantana,2
Mantas,2
Mante,7
Manté,2
Manthana,9
Manthira,2
Manto,2
Mantra,3
Manu,5
Manuela,436
Manuelita,2
Manuella,80
Manushak,2
Manushaqe,12
Manushe,2
Manwa,4
Manveer,3
Manwella,3
Manvi,6
Manvir,2
Manvitha,2
Manya,21
Manyi,2
Manyima,4
Manzar,10
Manzila,2
Manzura,9
Manzurahon,2
Mao,6
Maolouda,2
Maombi,4
Maphi,2
Maple,2
Maprang,5
Maqboola,2
Maqdis,21
Maqsooda,2
Maqsud,9
Maqsuud,4
Mar,19
Mara,292
Maraam,3
Marah,219
Marai,2
Maraim,3
Maraki,8
Maraky,2
Maral,178
Maral-Erdene,3
Maralgoo,5
Maralgua,2
Maraljingoo,2
Maralmaa,4
Maram,420
Mara-Maria,2
Maramawit,4
Marame,2
Maran,2
Maranata,20
Maranatha,9
Marang,2
Marasri,2
Maraya,2
Marayama,2
Marbel,2
Marcel,14
Marcela,436
Marcelina,89
Marceline,11
Marcelita,2
Marcella,87
Marcelle,51
Marcellina,3
Marcelline,6
Marchella,2
Marci,3
Marcia,123
Márcia,6
Marciana,6
Marcilene,5
Marcilia,5
Marcus,8
Marcy,5
Mardeen,3
Mardia,7
Mardin,25
Mardiya,4
Mardjan,5
Mardy,5
Maré,4
Mare,62
Marea,11
Maream,25
Marean,2
Mareana,2
Mareb,3
Marebel,2
Maree,10
Mareem,2
Mareen,16
Mareena,2
Mareeya,2
Marei,2
Mareia,3
Mareike,40
Mareim,2
Marekh,2
Marekhi,2
Marela,2
Marelia,3
Mare-Liis,2
Marelize,2
Marella,6
Marem,19
Mareme,4
Maren,86
Marena,10
Marene,2
Maresia,3
Maressa,2
Maret,62
Mareta,9
Mareth,4
Maretta,2
Marette,4
Marey,3
Mareya,2
Mareyam,2
Marez,3
Marfa,2
Marfat,2
Marga,68
Margad,21
Margad-Erdene,5
Margalara,2
Margalit,2
Margan,5
Marganita,2
Margareeta,3
Margareetta,4
Margaret,498
Margareta,2832
Margarete,122
Margareth,193
Margaretha,2999
Margarethe,64
Margaretta,3
Margarette,6
Margarida,27
Margarit,13
Margarita,590
Margarite,4
Margaritha,6
Margaryta,12
Margaux,50
Marge,16
Márge,3
Margela,2
Margeret,2
Margereth,3
Margerethe,2
Margerit,2
Margerita,4
Margerite,7
Margery,4
Marget,9
Margeta,2
Margetta,4
Marghalara,5
Margharit,2
Margherita,35
Margherite,2
Marghita,4
Margi,3
Margie,30
Margiori,2
Margit,5006
Margita,755
Margite,15
Margith,55
Margitha,68
Margithe,6
Margitt,2
Margitta,138
Margitte,4
Margitu,2
Margje,2
Margo,48
Margó,2
Margò,2
Margon,12
Margona,66
Margone,5
Margonia,4
Margorit,2
Margot,1795
Margota,2
Margoth,38
Margott,3
Margreet,2
Margret,534
Margrét,50
Margreta,18
Margrete,35
Margreth,299
Margretha,3
Margrethe,117
Margriet,9
Margrit,48
Margrita,2
Margrith,4
Margritte,2
Marguerita,11
Marguerite,213
Marguerithe,27
Margueritte,5
Marguita,4
Margun,5
Margurite,70
Margurithe,16
Margå,2
Marh,6
Marha,4
Marhaba,3
Marhamat,4
Marharyta,19
Marhawit,3
Mari,4304
Marí,2
Mari Ann,12
Mari Anne,4
Mari Louis,4
Mari Louise,24
María,59
Mária,53
Maria,8731
Maria Alicia,2
Maria Ana,2
Maria Angelica,3
Maria Anna,2
Maria Carla,2
Maria Cecilia,4
Maria Charlotta,3
Maria Chiara,2
Maria Christina,2
Maria Clara,3
Maria Cristina,9
Maria Daniella,2
Maria Dolores,4
Maria Elena,12
Maria Eleni,4
Maria Elisabeth,3
Maria Eugenia,5
Maria Fe,2
Maria Fernanda,2
Maria Gabriella,2
Maria Helena,10
Maria Isabel,2
Maria Isabell,2
Maria Isabella,3
Maria Isabelle,2
Maria Jose,3
Maria José,8
Maria Julia,2
Maria Kristina,3
Maria Laura,2
Maria Leena,3
Maria Liisa,2
Maria Louise,19
Maria Lucia,2
Maria Luisa,14
Maria Luiza,4
Maria Magdalena,6
Maria Mercedes,2
Maria Paz,2
Maria Pia,10
Maria Rosa,5
Maria Susanna,3
Maria Teresa,17
Maria Terese,4
Maria Theresa,3
Maria Therese,16
Maria Victoria,5
Maria-Adela,2
Maria-Alexandra,5
Mariaana,4
Maria-Anastasia,2
Maria-Angela,2
Maria-Angelica,2
Maria-Anna,4
Maria-Antonia,5
Maria-Barbara,2
Maria-Beatrice,3
Maria-Bianca,2
Maria-Carolina,3
Maria-Cecilia,3
Maria-Celeste,2
Maria-Charlotte,3
Maria-Christina,13
Maria-Clara,4
Maria-Corina,2
Mariacristina,2
Maria-Cristina,14
Maria-Daniela,3
Maria-Denisa,2
Maria-Diana,2
Maria-Dolores,4
Maria-Elena,28
Maria-Eleni,8
Maria-Elisa,4
Maria-Elisabet,2
Maria-Elisabeth,4
Maria-Emilia,5
Maria-Eugenia,2
Maria-Eva,3
Maria-Fredrika,2
Maria-Gracia,2
Mariagrazia,2
Mariah,143
Maria-Helen,2
Maria-Helena,20
Maria-Helene,3
Maria-Heléne,2
Maria-Ileana,2
Maria-Ines,2
Maria-Isabel,9
Maria-Isabell,2
Maria-Isabelle,2
Maria-Jeanette,2
Maria-Jessica,2
Maria-Jesus,2
Maria-Jolanta,2
Mariajosé,3
Maria-José,10
Maria-Kaisa,2
Maria-Kristina,8
Maria-Lee,2
Maria-Leena,8
Marialena,10
Maria-Lena,17
Maria-Liisa,10
Maria-Linnéa,2
Maria-Lisa,4
Maria-Louise,8
Maria-Lourd,2
Marialuisa,5
Maria-Luisa,6
Maria-Luise,4
Mariam,3658
Mariama,262
Maria-Magdalena,30
Mariamawit,19
Mariame,14
Mariami,12
Mariamma,5
Mariamo,3
Mariamu,3
Marian,406
Mariana,1909
Mariana-Cristiana,2
Mariane,59
Marianela,32
Marianella,11
Mari-Anette,2
Mariange,2
Mariangela,11
Mariangeles,3
Mariani,3
Maria-Nicoleta,2
Marianita,3
Mariann,1501
Mari-Ann,421
Marianna,406
Mari-Anna,9
Mari-Anne,294
Marianné,4
Marianne,2479
Marianne-Louise,2
Maria-Nora,2
Marianthi,24
Mariany,3
Maria-Paz,2
Maria-Pia,44
Maria-Rebeca,2
Maria-Regina,2
Maria-Rita,2
Maria-Rosa,4
Marias,2
Maria-Sara,2
Maria-Sarah,2
Maria-Sofia,5
Maria-Sophia,3
Maria-Stefania,2
Mariat,3
Maria-Teodora,2
Maria-Teres,3
Maria-Teresa,9
Maria-Terese,8
Maria-Teresia,3
Maria-Theres,8
Maria-Theresa,14
Maria-Theresé,7
Maria-Thérese,4
Maria-Thérése,2
Maria-Thérèse,2
Maria-Therese,71
Maria-Therése,15
Maria-Theresia,4
Mariatou,13
Mariatta,7
Mariatu,3
Maria-Ulrika,2
Maria-Victoria,6
Maria-Viktoria,2
Maribana,3
Maribel,135
Maribell,26
Mari-Bell,2
Maribella,9
Maribelle,33
Maribeth,9
Marica,641
Maricar,16
Marice,24
Maricel,71
Maricela,17
Maricha,4
Mari-Charlott,7
Mari-Charlotte,3
Mari-Christin,9
Mari-Christina,2
Mari-Christine,4
Marichu,11
Maricica,10
Maricka,20
Maricon,5
Maricor,3
Maricris,15
Mari-Cristin,2
Maricruz,5
Marié,32
Marie,3678
Marie Ann,6
Marie Anne,15
Marie Belle,2
Marie Chantal,2
Marie Charlotte,8
Marie Christin,2
Marie Christine,8
Marie Claire,2
Marie Elisabet,2
Marie Francesca,2
Marie Helen,2
Marie Helén,2
Marie Helene,5
Marie Heléne,3
Marie Kristin,4
